"Altres";"Màster universitari en Estudis de Dones, Gènere i Ciutadania";"http://www.upc.edu/master/fitxa_master.php?id_estudi=43&id_titulacio=107"
"Altres";"Màster universitari en Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyament d'Idiomes";"http://mfp.masters.upc.edu/"
"Ciències de la Salut";"Màster universitari en Enginyeria Biomèdica";"http://www.upc.edu/master/fitxa_master.php?id_estudi=29&id_titulacio=93"
"Ciències de la Salut";"Màster universitari en Optometria i Ciències de la Visió";"http://www.upc.edu/master/fitxa_master.php?id_estudi=58&id_titulacio=122"
"Enginyeria Informàtica";"Master's degree in Computer Architecture, Networks and Systems";"http://www.upc.edu/master/fitxa_master.php?id_estudi=20&id_titulacio=84"
"Enginyeria Informàtica";"Master's degree in Computing";"https://postgrau.upc.edu/computing"
"Enginyeria Informàtica";"Master's degree in Artificial Intelligence";"https://postgrau.upc.edu/ai"
"Enginyeria Informàtica";"Master's degree in Information Technology (MTI)";"http://mastersuniversitaris.upc.edu/mti"
"Enginyeria Informàtica";"Erasmus Mundus Master in Data Mining and Knowledge Management (DMKM)";"http://www.upc.edu/master/fitxa_master.php?id_estudi=253&id_titulacio=269"
"Enginyeria Informàtica";"European Master in Distributed Computing (EMDC)";"http://www.upc.edu/master/fitxa_master.php?id_estudi=258&id_titulacio=274"
